"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.011131125E0,-1.501268051E-2,-2.197561800E-3,7.168101668E-2
1.021140125E0,-1.738942292E-2,-2.671309607E-4,5.102514267E-2
1.031120125E0,-2.128779357E-3,-1.973551313E-2,4.354187608E-2
1.041129125E0,1.362634222E-2,-2.141970996E-2,5.342074692E-2
1.051139125E0,1.015325144E-2,-1.407159856E-3,5.821078598E-2
1.061118125E0,2.194363190E-2,-1.421564106E-2,7.138397813E-2
1.071128125E0,8.665317781E-3,9.265148460E-3,4.459086657E-2
1.081107125E0,3.955618548E-3,1.324425409E-2,3.381269395E-2
1.091117125E0,8.538031206E-4,-3.307399875E-4,5.866102159E-2
1.101127125E0,2.294993771E-2,-1.467550858E-2,6.614662707E-2
1.111106125E0,3.515638411E-5,-3.634186140E-3,5.042814195E-2
1.121116125E0,1.266620200E-2,-6.212008819E-3,4.279284775E-2
1.131095125E0,-4.813099019E-3,-7.483097571E-3,3.231405258E-2
1.141105125E0,8.821625733E-3,-3.021914139E-3,4.713206649E-2
1.151115125E0,-1.225824907E-2,4.161943034E-3,6.344755232E-2
1.161094125E0,-1.916630496E-2,1.094224183E-3,2.692350447E-2
1.171104125E0,1.505657574E-2,4.759861948E-4,3.695206404E-2
1.181083125E0,8.786811959E-3,-4.809111035E-3,4.308754742E-2
1.191093125E0,8.974507581E-3,-5.838643543E-3,4.143980205E-2
1.201102125E0,1.915487092E-2,-1.131899895E-2,4.009260356E-2
1.211082125E0,1.889588038E-2,-1.357194027E-2,5.146836162E-2
1.221092125E0,1.990649851E-2,-4.144290838E-2,2.691999614E-2
1.231071125E0,2.198247020E-2,-2.385069672E-2,3.650065899E-2
1.241081125E0,1.986347579E-2,-2.101823236E-2,3.155976176E-2
1.251090125E0,8.945403979E-3,6.308185923E-2,3.679886699E-2
1.261070125E0,-7.232464895E-2,2.026358249E-1,-1.970511675E-3
1.271079125E0,-5.125276381E-2,1.280904765E-1,1.236171556E-1
1.281059125E0,-1.754420968E-2,-1.575323950E-2,-6.514090598E-2
1.291068125E0,-1.086303033E-2,-1.216586855E-1,9.517512918E-2
1.301078125E0,2.042003023E-2,-1.317162070E-1,8.319827735E-2
1.311057125E0,3.812445818E-2,-1.192371616E-1,1.000049293E-2
1.321067125E0,9.283569474E-3,-4.439708618E-2,3.305197120E-2
1.331046125E0,2.001889296E-2,3.049396053E-3,3.664508522E-2
1.341056125E0,2.924007081E-2,5.764884572E-2,2.223696113E-3
1.351066125E0,7.484582216E-2,7.227135249E-2,8.485713243E-2
1.361045125E0,4.491889536E-2,2.387141093E-2,6.270261705E-2
1.371055125E0,4.467329403E-2,1.889481143E-2,3.680471420E-2
1.381034125E0,2.499690630E-2,9.128360159E-3,6.778735578E-2
1.391044125E0,-2.111473883E-2,3.875326684E-3,2.751699686E-2
1.401054125E0,-5.315443366E-2,-1.646946632E-2,3.574870706E-2
1.411033125E0,-5.714466041E-2,-3.629272195E-2,5.820143044E-2
1.421043125E0,-3.189478438E-2,-4.597774389E-2,4.607664406E-2
1.430987375E0,-2.258482934E-2,-6.122708132E-2,4.427920997E-2
1.440997375E0,-1.667310703E-2,-3.308487549E-2,4.173274755E-2
1.451006375E0,-5.586658241E-3,3.514961870E-2,1.478819311E-2
1.460986375E0,-5.837357612E-3,1.223981573E-1,3.020554662E-2
1.470995375E0,-2.109389442E-2,1.474331207E-1,4.188243628E-2
1.480975375E0,-1.179497601E-2,1.204471424E-1,3.619543433E-2
1.490984375E0,-1.329124195E-2,4.640197766E-2,4.592754006E-2
1.500994375E0,2.656532597E-2,-6.690684733E-2,4.068843484E-2
1.510973375E0,3.248147024E-2,-1.370052146E-1,5.161512673E-2
1.520983375E0,2.672786943E-2,-1.386050493E-1,4.053816140E-2
1.530963375E0,4.671338758E-2,-9.284821143E-2,4.173684061E-2
1.540972375E0,1.292056502E-3,-1.061267585E-2,3.859630108E-2
1.550982375E0,-1.693400248E-2,5.744877958E-2,3.665327132E-2
1.560961375E0,-1.545373416E-3,5.586400598E-2,5.506907701E-2
1.570971375E0,2.117283183E-2,3.728127827E-2,3.321218491E-2
1.580950375E0,1.975003067E-2,-2.265131401E-3,4.054342389E-2
1.590960375E0,1.249938277E-2,-4.146540189E-2,2.946411967E-2
1.600970375E0,-2.846561624E-2,-1.074818279E-2,3.230586648E-2
1.610949375E0,-3.401482489E-2,-2.694416387E-2,4.098781228E-2
1.620959375E0,-1.382952840E-2,-4.200630132E-2,4.098956645E-2
1.630938375E0,-1.996892667E-3,-4.670431069E-2,6.045143902E-2
1.640948375E0,1.914063203E-2,-6.591079242E-2,4.563284039E-2
1.650958375E0,2.544181546E-2,-1.102953893E-4,2.033486187E-2
1.660937375E0,3.098726453E-2,3.286319293E-2,2.093303204E-2
1.670947375E0,2.640385145E-2,6.261907952E-2,3.575104594E-2
1.680926375E0,-5.205977093E-3,6.444234186E-2,3.290812969E-2
1.690936375E0,-2.067539823E-2,4.770913186E-2,3.470497906E-2
1.700915375E0,-2.446620296E-2,1.205498524E-2,4.129128277E-2
1.710925375E0,-1.883031847E-3,-4.027042744E-2,4.877396464E-2
