"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.011761250E-1,6.159388460E-3,-3.871940076E-3,-3.581945784E-4
9.111551250E-1,-9.241672233E-3,6.070972420E-3,1.643174328E-4
9.211651250E-1,-1.422516070E-3,6.035193801E-4,-5.806141999E-4
9.311441250E-1,-8.656489663E-4,1.481564716E-3,8.140832651E-4
9.411541250E-1,2.049454488E-4,4.129726440E-4,-1.437589061E-3
9.511641250E-1,3.120573703E-3,-2.837415785E-3,-7.957671769E-4
9.611431250E-1,8.629029617E-5,1.599460840E-3,-1.497049117E-3
9.711531250E-1,4.775051028E-3,-2.895954996E-3,-1.433640718E-4
9.811321250E-1,2.804406919E-3,-7.493235171E-4,3.690989688E-4
9.911421250E-1,-2.129365224E-3,1.482937485E-3,1.168975141E-4
1.001151125E0,3.992806654E-3,-1.042781398E-3,-3.504101187E-4
1.011131125E0,2.203162294E-3,2.954583615E-4,-6.491923705E-5
1.021140125E0,-9.107450023E-5,1.609306782E-3,-7.898914628E-4
1.031120125E0,1.409350894E-3,2.111457288E-4,5.273264833E-5
1.041129125E0,2.101035789E-4,-1.398324966E-4,-5.800696090E-4
1.051139125E0,-8.240020834E-4,-7.792580873E-4,-3.023017198E-4
1.061118125E0,-1.348749269E-3,-2.055950463E-4,4.735654220E-4
1.071128125E0,2.227821387E-4,1.018393785E-3,-1.509424066E-3
1.081107125E0,1.575036906E-3,-2.014596015E-3,5.224754568E-4
1.091117125E0,2.847351134E-4,-1.569582149E-3,-3.044360783E-4
1.101127125E0,-1.594668720E-3,4.027690738E-4,-1.906189136E-4
1.111106125E0,-4.206431098E-3,7.063709199E-4,2.496016677E-4
1.121116125E0,-1.580225304E-3,4.635173827E-4,-3.002453595E-4
1.131095125E0,1.514633652E-3,4.768334329E-4,-1.867946703E-4
1.141105125E0,4.790844396E-4,-4.414804280E-4,-5.837809294E-4
1.151115125E0,2.047420479E-3,-1.786908135E-3,-1.382995397E-3
1.161094125E0,6.924658082E-4,-1.712575555E-3,1.167068258E-4
1.171104125E0,1.578500029E-3,-7.708817720E-4,4.325576592E-4
1.181083125E0,-9.632208385E-4,-1.005642116E-4,2.983903978E-4
1.191093125E0,-2.763784025E-3,2.656206489E-4,1.390020247E-3
1.201102125E0,-2.854971681E-3,2.712331712E-3,9.055091068E-4
1.211082125E0,3.552859649E-3,-1.834483817E-3,5.233455449E-4
1.221092125E0,-3.200089559E-3,1.415519044E-3,1.118590590E-4
1.231071125E0,1.260971650E-3,-5.099456757E-4,4.053392913E-4
1.241081125E0,-1.988588367E-3,-2.677179873E-4,1.466847491E-3
1.251090125E0,-5.801702384E-3,4.294278100E-3,2.316732425E-4
1.261070125E0,3.902294673E-3,1.551607624E-3,-6.115033757E-4
1.271079125E0,-3.558284603E-3,-8.660107851E-4,-1.082882751E-3
1.281059125E0,-6.862139795E-3,3.994023427E-3,-1.264644088E-3
1.291068125E0,5.451762117E-4,1.455498859E-3,-7.176308427E-4
1.301078125E0,-1.033732668E-3,6.372835487E-4,2.680169418E-3
1.311057125E0,-9.163298644E-3,9.230505675E-3,8.417891804E-4
1.321067125E0,2.945268061E-3,-4.489030689E-4,1.591102337E-3
