"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.432781250E-1,-5.358856201E-2,1.197509766E-2,9.874216461E0
7.530131250E-1,-3.068618774E-2,1.437011719E-2,9.867480469E0
7.627481250E-1,-2.724334717E-2,-1.332229614E-2,9.854008484E0
7.724831250E-1,-3.098556519E-2,3.832031250E-2,9.867630157E0
7.822181250E-1,-2.155517578E-2,3.817062378E-2,9.851763153E0
7.919531250E-1,-5.134323120E-2,2.080673218E-2,9.852361908E0
8.016881250E-1,-4.430786133E-2,2.035766602E-2,9.852511597E0
8.114241250E-1,-3.652404785E-2,2.739303589E-2,9.861492920E0
8.211591250E-1,-5.433700562E-2,2.619552612E-2,9.864037628E0
8.308941250E-1,-4.999603271E-2,3.188369751E-2,9.868528290E0
8.406291250E-1,-6.137237549E-2,1.227447510E-2,9.855804749E0
8.503641250E-1,-3.951782227E-2,2.095642090E-2,9.851912842E0
8.600991250E-1,-5.882766724E-2,2.844085693E-2,9.856852570E0
8.698341250E-1,-5.733078003E-2,2.439926147E-2,9.858798523E0
8.795691250E-1,-5.239105225E-2,1.826202393E-2,9.845027161E0
8.893041250E-1,-3.532653809E-2,8.232879639E-3,9.851314087E0
8.990401250E-1,-3.697311401E-2,7.484436035E-3,9.854607239E0
9.087441250E-1,-3.697311401E-2,1.451980591E-2,9.860445099E0
9.184791250E-1,-3.996688843E-2,8.232879639E-3,9.835896149E0
9.282141250E-1,-1.422042847E-2,2.335144043E-2,9.856852570E0
9.379491250E-1,-4.924758911E-2,3.861968994E-2,9.857900391E0
9.476851250E-1,-5.942642212E-2,2.499801636E-2,9.878108368E0
9.574201250E-1,-4.146377563E-2,2.365081787E-2,9.859247589E0
9.671551250E-1,-5.882766724E-2,2.110610962E-2,9.852212219E0
9.768901250E-1,-5.284011841E-2,2.903961182E-2,9.866282959E0
9.866251250E-1,-5.837860107E-2,3.832031250E-2,9.846524048E0
9.963601250E-1,-5.328918457E-2,6.586303711E-3,9.871671753E0
1.006095125E0,-5.927673340E-2,2.200424194E-2,9.881551208E0
1.015830125E0,-6.182144165E-2,2.409988403E-2,9.860894165E0
1.025565125E0,-4.670288086E-2,4.790039062E-3,9.853409729E0
1.035300125E0,-3.083587646E-2,3.143463135E-3,9.863289185E0
1.045036125E0,-3.442840576E-2,2.305206299E-2,9.868079224E0
1.054771125E0,-2.275268555E-2,1.017883301E-2,9.881251831E0
1.064506125E0,-3.622467041E-2,3.382965088E-2,9.854457550E0
1.074241125E0,-4.086502075E-2,3.772155762E-2,9.843679962E0
1.083976125E0,-4.400848389E-2,2.409988403E-2,9.868528290E0
1.093711125E0,-2.215393066E-2,9.580078125E-3,9.876012726E0
1.103446125E0,-4.520599365E-2,2.005828857E-2,9.860295410E0
1.113181125E0,-3.248245239E-2,1.706451416E-2,9.852661285E0
1.122916125E0,-4.984634399E-2,1.586700439E-2,9.842183075E0
1.132652125E0,-3.592529297E-2,2.020797729E-2,9.857002258E0
1.142387125E0,-5.688171387E-2,2.754272461E-2,9.873318329E0
1.152122125E0,-6.361770630E-2,2.469863892E-2,9.836794281E0
1.161857125E0,-2.918930054E-2,2.424957275E-2,9.846823425E0
1.171592125E0,-3.517684937E-2,1.871109009E-2,9.852960663E0
1.181327125E0,-3.861968994E-2,9.131011963E-3,9.838291168E0
1.191062125E0,-3.487747192E-2,1.736389160E-2,9.851314087E0
1.200797125E0,-2.484832764E-2,1.167572021E-2,9.849966888E0
1.210532125E0,-2.499801636E-2,9.430389404E-3,9.861343231E0
1.220268125E0,-2.424957275E-2,-1.871109009E-2,9.836794281E0
1.230003125E0,-2.230361938E-2,-1.047821045E-3,9.846374359E0
1.239707125E0,-2.424957275E-2,1.646575928E-3,9.841434631E0
1.249442125E0,-3.532653809E-2,8.532257080E-2,9.846673737E0
1.259177125E0,-1.166075134E-1,2.249821472E-1,9.807904358E0
1.268913125E0,-9.535171509E-2,1.502874756E-1,9.933493195E0
1.278648125E0,-6.167175293E-2,5.987548828E-3,9.744735718E0
1.288383125E0,-5.493576050E-2,-9.999206543E-2,9.905052338E0
1.298118125E0,-2.350112915E-2,-1.104702759E-1,9.893077240E0
1.307853125E0,-6.137237549E-3,-9.879455566E-2,9.819879456E0
1.317588125E0,-3.487747192E-2,-2.409988403E-2,9.842931519E0
1.327323125E0,-2.395019531E-2,2.409988403E-2,9.846524048E0
1.337058125E0,-1.526824951E-2,8.068222046E-2,9.812095642E0
1.346793125E0,2.978805542E-2,9.639953613E-2,9.894723816E0
1.356529125E0,-1.496887207E-4,4.790039063E-2,9.872569885E0
1.366264125E0,-4.490661621E-4,4.206253052E-2,9.846673737E0
1.375999125E0,-1.990859985E-2,3.143463135E-2,9.877659302E0
1.385734125E0,-6.556365967E-2,2.529739380E-2,9.837393036E0
1.395469125E0,-9.759704590E-2,4.490661621E-3,9.845625916E0
1.405204125E0,-1.013392639E-1,-1.526824951E-2,9.868079224E0
1.414939125E0,-7.589218140E-2,-2.454895020E-2,9.855954437E0
1.424639375E0,-6.601272583E-2,-3.921844482E-2,9.854158173E0
1.434374375E0,-5.972579956E-2,-1.092727661E-2,9.851613464E0
1.444109375E0,-4.849914551E-2,5.733078003E-2,9.824669495E0
1.453845375E0,-4.849914551E-2,1.447489929E-1,9.840087433E0
1.463580375E0,-6.391708374E-2,1.698966980E-1,9.851763153E0
1.473315375E0,-5.478607178E-2,1.431024170E-1,9.846074982E0
1.483050375E0,-5.703140259E-2,6.870712280E-2,9.855804749E0
1.492785375E0,-1.736389160E-2,-4.490661621E-2,9.850565643E0
1.502520375E0,-1.137634277E-2,-1.151106262E-1,9.861492920E0
1.512255375E0,-1.706451416E-2,-1.166075134E-1,9.850415955E0
1.521990375E0,2.694396973E-3,-7.080276489E-2,9.851613464E0
1.531725375E0,-4.296066284E-2,1.227447510E-2,9.848470001E0
1.541461375E0,-6.107299805E-2,8.173004150E-2,9.846524048E0
1.551196375E0,-6.017486572E-2,1.067280579E-1,9.847422180E0
1.560931375E0,-4.580474854E-2,8.143066406E-2,9.864935760E0
1.570666375E0,-2.290237427E-2,6.227050781E-2,9.843081207E0
1.580401375E0,-2.409988403E-2,2.185455322E-2,9.850415955E0
1.590136375E0,-3.128494263E-2,-1.826202393E-2,9.839338989E0
1.599871375E0,-7.214996338E-2,1.152603149E-2,9.842183075E0
1.609606375E0,-7.783813477E-2,-4.790039062E-3,9.850865021E0
1.619341375E0,-5.777984619E-2,-1.945953369E-2,9.850865021E0
1.629077375E0,-4.625381470E-2,-2.365081787E-2,9.870324554E0
1.638812375E0,-2.499801636E-2,-4.236190796E-2,9.855505371E0
1.648547375E0,-1.841171265E-2,2.380050659E-2,9.830207977E0
1.658282375E0,-1.272354126E-2,5.673202515E-2,9.830806732E0
1.668017375E0,-1.721420288E-2,8.622070312E-2,9.845625916E0
1.677752375E0,-4.924758911E-2,8.771759033E-2,9.842781830E0
1.687487375E0,-6.496490479E-2,7.080276489E-2,9.844578094E0
1.697222375E0,-6.870712280E-2,3.517684937E-2,9.851164398E0
1.706957375E0,-4.565505981E-2,-1.706451416E-2,9.858648834E0
1.716692375E0,-1.377136230E-2,-3.487747192E-2,9.842781830E0
1.726428375E0,-4.415817261E-2,-2.020797729E-2,9.837991791E0
1.736163375E0,-6.526428223E-2,-6.735992432E-3,9.840985565E0
1.745898375E0,-5.074447632E-2,3.921844482E-2,9.855655060E0
1.755633375E0,-5.059478760E-2,6.451583862E-2,9.868228912E0
1.765368375E0,-7.125183105E-2,7.469467163E-2,9.866881714E0
1.775103375E0,-6.167175293E-2,3.832031250E-2,9.854906616E0
1.784838375E0,-1.347198486E-2,1.317260742E-2,9.841584320E0
1.794573375E0,-3.966751099E-2,-3.442840576E-3,9.850116577E0
1.804308375E0,-3.727249146E-2,1.392105103E-2,9.851314087E0
1.814044375E0,-2.380050659E-2,3.308120728E-2,9.852960663E0
1.823779375E0,-4.909790039E-2,2.544708252E-2,9.849667511E0
1.833514375E0,-4.355941772E-2,1.646575928E-2,9.842482452E0
1.843249375E0,-4.730163574E-2,3.353027344E-2,9.862241364E0
1.852984375E0,-2.215393066E-2,2.679428101E-2,9.841584320E0
1.862719375E0,-2.829116821E-2,2.589614868E-2,9.849667511E0
1.872454375E0,-3.817062378E-2,7.484436035E-3,9.855954437E0
1.882189375E0,-4.326004028E-2,5.284011841E-2,9.862391052E0
1.891924375E0,-5.478607178E-2,5.912704468E-2,9.848170624E0
1.901660375E0,-5.059478760E-2,4.685256958E-2,9.848619690E0
1.911395375E0,-4.819976807E-2,1.826202393E-2,9.854607239E0
1.921130375E0,-4.954696655E-2,-1.197509766E-3,9.828561401E0
1.930865375E0,-2.888992310E-2,-7.933502197E-3,9.851314087E0
1.940600375E0,-4.296066284E-2,9.430389404E-3,9.848619690E0
1.950335375E0,-3.098556519E-2,3.891906738E-2,9.839338989E0
1.960070375E0,-3.592529297E-2,4.625381470E-2,9.840686188E0
1.969775375E0,-4.969665527E-2,3.876937866E-2,9.838740234E0
1.979510375E0,-6.376739502E-2,5.403762817E-2,9.857301636E0
1.989245375E0,-4.520599365E-2,2.380050659E-2,9.877210236E0
1.998980375E0,-3.592529297E-2,-4.640350342E-3,9.837842102E0
2.008715375E0,-4.490661621E-2,1.092727661E-2,9.827064514E0
2.018450375E0,-2.245330811E-2,1.227447510E-2,9.855954437E0
2.028185375E0,-5.179229736E-2,3.412902832E-2,9.846973114E0
2.037921375E0,-4.894821167E-2,2.350112915E-2,9.858499146E0
2.047656375E0,-6.646179199E-2,3.652404785E-2,9.849218445E0
2.057391375E0,-4.939727783E-2,3.083587646E-2,9.839638367E0
2.067126375E0,-3.727249146E-2,3.832031250E-2,9.841434631E0
2.076861375E0,-6.152206421E-2,5.987548828E-3,9.846224670E0
2.086596375E0,-5.418731689E-2,2.080673218E-2,9.843530273E0
2.096331375E0,-7.723937988E-2,2.439926147E-2,9.847122803E0
2.106066375E0,-6.271957397E-2,2.065704346E-2,9.848769379E0
2.115801375E0,-8.322692871E-2,2.469863892E-2,9.851463776E0
2.125536375E0,-5.523513794E-2,4.011657715E-2,9.837542725E0
2.135272375E0,-3.412902832E-2,2.335144043E-2,9.854158173E0
2.145007375E0,-2.125579834E-2,1.886077881E-2,9.847122803E0
2.154742375E0,-1.616638184E-2,1.317260742E-2,9.848320312E0
2.164477375E0,-1.511856079E-2,3.323089600E-2,9.833052063E0
2.174212375E0,-2.080673218E-2,5.613327026E-2,9.852062531E0
2.183947375E0,8.532257080E-3,5.254074097E-2,9.852661285E0
2.193682375E0,-1.197509766E-3,7.499404907E-2,9.853260040E0
2.203417375E0,3.412902832E-2,5.867797852E-2,9.853709106E0
2.213152375E0,1.137634277E-2,9.580078125E-3,9.859397278E0
2.222888375E0,-7.334747314E-3,-2.140548706E-2,9.851912842E0
2.232623375E0,-3.143463135E-2,-2.829116821E-2,9.850565643E0
