"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.588966131E1,5.233445256E1,4.866607748E0,3.889427185E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.688962770E1,5.233445256E1,4.866607748E0,3.893699646E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.788959312E1,5.233445914E1,4.866682347E0,3.867454529E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.888955808E1,5.233445914E1,4.866682347E0,3.926048279E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
2.988952482E1,5.233445914E1,4.866682347E0,3.945579529E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.088948798E1,5.233445914E1,4.866682347E0,3.960838318E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.188945270E1,5.233445914E1,4.866682347E0,3.966331482E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.288941693E1,5.233445914E1,4.866682347E0,3.998680115E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.388938165E1,5.233445914E1,4.866682347E0,4.016380310E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.488934505E1,5.233445914E1,4.866682347E0,4.031639099E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.588930905E1,5.233445914E1,4.866682347E0,4.067649841E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.688927257E1,5.233445914E1,4.866682347E0,4.098777771E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.788923609E1,5.233445914E1,4.866682347E0,4.155540466E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.888919997E1,5.233445914E1,4.866682347E0,4.153099060E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
3.988916361E1,5.233445914E1,4.866682347E0,4.117698669E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.088912547E1,5.233445914E1,4.866682347E0,4.051170349E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.188908875E1,5.233445914E1,4.866682347E0,4.077415466E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.288905168E1,5.233445914E1,4.866682347E0,4.105491638E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.388901401E1,5.233445914E1,4.866682347E0,4.094505310E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.488897657E1,5.233445914E1,4.866682347E0,4.065208435E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.588893878E1,5.233445914E1,4.866682347E0,4.016990662E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.688890171E1,5.233445914E1,4.866682347E0,3.941917419E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.788886333E1,5.233445914E1,4.866682347E0,3.929100037E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.888882673E1,5.233445914E1,4.866682347E0,3.879051208E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
4.988878882E1,5.233445914E1,4.866682347E0,3.894920349E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.088881731E1,5.233445914E1,4.866682347E0,3.874168396E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.188871288E1,5.233445914E1,4.866682347E0,3.880882263E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.288867462E1,5.233445914E1,4.866682347E0,3.854637146E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.388863587E1,5.233445914E1,4.866682347E0,3.842430115E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.488859880E1,5.233445914E1,4.866682347E0,3.894309998E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.588856053E1,5.233445914E1,4.866682347E0,3.963890076E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.688852274E1,5.233445914E1,4.866682347E0,3.951683044E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.788848329E1,5.233445914E1,4.866682347E0,3.993186951E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.888844478E1,5.233445914E1,4.866682347E0,4.010887146E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
5.988840747E1,5.233445914E1,4.866682347E0,4.012107849E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.088836849E1,5.233445914E1,4.866682347E0,4.006004333E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.188833094E1,5.233441367E1,4.866688633E0,4.033470154E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.288829195E1,5.233441367E1,4.866688633E0,4.066429138E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.388825262E1,5.233441367E1,4.866688633E0,4.097557068E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.488821483E1,5.233441367E1,4.866688633E0,4.139671326E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.588817632E1,5.233441367E1,4.866688633E0,4.100608826E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.688813710E1,5.233441367E1,4.866688633E0,4.150047302E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.788809872E1,5.233441367E1,4.866688633E0,4.144554138E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.888806045E1,5.233441367E1,4.866688633E0,4.239768982E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
6.988802171E1,5.233441367E1,4.866688633E0,4.326438904E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
7.088798344E1,5.233441367E1,4.866688633E0,4.300804138E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
7.188794565E1,5.233441367E1,4.866688633E0,4.242210388E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
7.288790631E1,5.233441367E1,4.866688633E0,4.181785583E-1,0.000000000E0,-1.000000000E0,5.000000000E1,5.000000000E1
7.388786721E1,5.233435764E1,4.866715707E0,4.869041443E-1,3.799999952E-1,2.285156250E1,5.000000000E1,5.000000000E1
7.488782847E1,5.233434540E1,4.866718221E0,4.803733826E-1,3.400000036E-1,1.863281250E1,5.000000000E1,5.000000000E1
7.588778985E1,5.233433497E1,4.866724256E0,4.754295349E-1,1.700000018E-1,2.320312500E1,5.000000000E1,5.000000000E1
7.688775074E1,5.233433497E1,4.866724256E0,4.944725037E-1,0.000000000E0,1.828125000E1,5.000000000E1,5.000000000E1
