Time (s),X (µT),Y (µT),Z (µT)
1654684806389047296,-11.48769379,-25.91329384,-55.4352417
1654684808319912704,-11.48769379,-25.91329384,-55.4352417
1654684810260787968,-11.27954865,-26.012146,-55.434021
1654684812211642368,-11.27954865,-26.012146,-55.434021
1654684814172506624,-11.33185577,-25.95475006,-55.21496582
1654684816143379968,-11.33185577,-25.95475006,-55.21496582
1654684818124233216,-10.99760437,-26.0346241,-55.60699463
1654684820115095552,-10.99760437,-26.0346241,-55.60699463
1654684822115938048,-11.41030884,-25.89299202,-55.44000244
1654684824126789376,-11.41030884,-25.89299202,-55.44000244
1654684826147650816,-11.15585327,-26.01472855,-55.50933838
1654684828178490880,-11.15585327,-26.01472855,-55.50933838
1654684830219341568,-11.31188965,-26.01449966,-55.46807861
1654684832270170880,-11.22562408,-25.94958496,-55.55389404
1654684834331010304,-11.22562408,-25.94958496,-55.55389404
1654684836401859840,-11.11290741,-25.79029083,-55.62585449
1654684838482688256,-11.11290741,-25.79029083,-55.62585449
1654684840573526528,-11.42073822,-25.98303986,-55.52630615
1654684842674343936,-11.42073822,-25.98303986,-55.52630615
1654684844785171456,-11.36672211,-25.81490135,-55.64385986
1654684846906009088,-11.36672211,-25.81490135,-55.64385986
1654684849036825344,-11.21317291,-25.88562012,-55.49255371
1654684851177651968,-11.21317291,-25.88562012,-55.49255371
1654684853328457472,-11.30480194,-25.65506554,-55.59094238
1654684855489272832,-11.30480194,-25.65506554,-55.59094238
1654684857660098304,-10.85848999,-25.74995613,-55.62200928
1654684859840902912,-10.85848999,-25.74995613,-55.62200928
1654684862031717120,-11.41266632,-25.87530518,-55.47344971
1654684864232510208,-11.41266632,-25.87530518,-55.47344971
1654684866443313664,-11.33489227,-25.76156616,-55.53979492
1654684868664125952,-11.33489227,-25.76156616,-55.53979492
1654684870894918144,-11.2150116,-25.80108261,-55.30841064
1654684873135719424,-11.2150116,-25.80108261,-55.30841064
1654684875386500864,-11.24753571,-26.00190926,-55.60668945
1654684877647291136,-11.24753571,-26.00190926,-55.60668945
1654684879918091520,-11.54386139,-26.07542992,-55.54937744
1654684882198871040,-11.54386139,-26.07542992,-55.54937744
1654684884489660416,-11.45964813,-25.89939308,-55.5604248
1654684886790428672,-11.45964813,-25.89939308,-55.5604248
1654684889101207040,-11.59927368,-25.91817474,-55.59210205
1654684891421995520,-11.59927368,-25.91817474,-55.59210205
1654684893752762880,-11.41146851,-25.78721619,-55.67028809
1654684896093540096,-11.41146851,-25.78721619,-55.67028809
1654684898444296704,-11.42905426,-25.88673019,-55.66412354
1654684900805062912,-11.42905426,-25.88673019,-55.66412354
1654684903175839488,-11.43372345,-26.02184677,-55.56103516
1654684905556594688,-11.43372345,-26.02184677,-55.56103516
1654684907947360256,-11.49013519,-25.94021034,-55.40515137
1654684910348104704,-11.49013519,-25.94021034,-55.40515137
1654684912758859264,-11.38663483,-25.851511,-55.50830078
1654684915179623680,-11.38663483,-25.851511,-55.50830078
1654684917610334976,-11.17098999,-25.97516441,-55.40209961
1654684920051056128,-11.17098999,-25.97516441,-55.40209961
1654684922501756416,-11.00782776,-25.89958,-55.42218018
1654684924962466816,-11.00782776,-25.89958,-55.42218018
1654684927433186048,-11.07328796,-25.91808891,-55.58184814
1654684929913885440,-11.07328796,-25.91808891,-55.58184814
1654684932404593664,-11.2355957,-25.98087502,-55.61529541
1654684934905282048,-11.2355957,-25.98087502,-55.61529541
1654684937415979520,-11.44254303,-26.09650421,-55.5279541
1654684939936686848,-11.44254303,-26.09650421,-55.5279541
1654684942467373056,-11.12552643,-26.04910278,-55.36804199
1654684945008069120,-11.12552643,-26.04910278,-55.36804199
1654684947558744320,-11.22802734,-25.74330139,-55.57397461
1654684950119429376,-11.22802734,-25.74330139,-55.57397461
1654684952690124544,-11.05921173,-25.90066147,-55.43963623
1654684955270798592,-11.05921173,-25.90066147,-55.43963623
1654684957861483008,-11.10126495,-25.82464409,-55.52764893
1654684960462146048,-11.10126495,-25.82464409,-55.52764893
1654684963072819200,-11.49755096,-26.07156372,-55.56439209
1654684965693502464,-11.49755096,-26.07156372,-55.56439209
1654684968324164608,-11.28714752,-25.84777641,-55.4017334
1654684970964836864,-11.28714752,-25.84777641,-55.4017334
1654684973615488000,-11.28800201,-26.06391716,-55.41125488
1654684976276149248,-11.28800201,-26.06391716,-55.41125488
1654684978946819584,-11.03079224,-26.07091141,-55.43505859
1654684981627469824,-11.03079224,-26.07091141,-55.43505859
1654684984318129920,-11.04036713,-26.08758354,-55.5803833
1654684987018769408,-11.04036713,-26.08758354,-55.5803833
1654684989729418496,-11.2383728,-26.15413094,-55.51873779
1654684992450076672,-11.2383728,-26.15413094,-55.51873779
1654684995180715008,-11.13132477,-25.87332153,-55.54058838
1654684997921362432,-11.13132477,-25.87332153,-55.54058838
1654685000671989760,-11.33892822,-26.09840965,-55.58581543
1654685003432625920,-11.33892822,-26.09840965,-55.58581543
1654685006203272192,-11.3395462,-26.060112,-55.37969971
1654685008983897600,-11.3395462,-26.060112,-55.37969971
1654685011774533120,-10.97753143,-26.12561607,-55.61566162
1654685014575147520,-10.97753143,-26.12561607,-55.61566162
1654685017385771776,-11.41283417,-26.21327591,-55.47344971
1654685020206405888,-11.41283417,-26.21327591,-55.47344971
1654685023037019392,-11.36037445,-26.08247757,-55.50305176
1654685025877642496,-11.36037445,-26.08247757,-55.50305176
1654685028728244480,-11.41447449,-25.95265579,-55.49346924
1654685031588856576,-11.41447449,-25.95265579,-55.49346924
1654685034459478784,-11.3633194,-25.75423622,-55.46478271
1654685037340080128,-11.3633194,-25.75423622,-55.46478271
1654685040230691328,-11.32505035,-25.95341301,-55.5489502
1654685043131281408,-11.32505035,-25.95341301,-55.5489502
1654685046041881600,-11.29480743,-26.13997841,-55.50378418
1654685048962490880,-11.29480743,-26.13997841,-55.50378418
1654685051893080064,-11.42782593,-25.90197945,-55.68408203
1654685054833678080,-11.42782593,-25.90197945,-55.68408203
1654685057784256512,-11.28887939,-25.99422073,-55.66333008
1654685060744843776,-11.28887939,-25.99422073,-55.66333008
1654685063715440896,-11.47807312,-25.9248085,-55.47064209
1654685066696018176,-11.47807312,-25.9248085,-55.47064209
1654685069686604544,-11.28189087,-26.19470024,-55.66247559
1654685072687170816,-11.28189087,-26.19470024,-55.66247559
1654685075697745920,-11.42568207,-26.09439278,-55.63830566
1654685078718331392,-11.42568207,-26.09439278,-55.63830566
1654685081748895488,-11.38431549,-26.13096428,-55.63653564
1654685084789469952,-11.38431549,-26.13096428,-55.63653564
1654685087840023296,-11.47297668,-26.02508163,-55.60992432
1654685090900586496,-11.47297668,-26.02508163,-55.60992432
1654685093971160064,-11.34094238,-25.8687706,-55.41210938
1654685097051712256,-11.34094238,-25.8687706,-55.41210938
1654685100142274560,-11.08524323,-25.9552784,-55.38598633
1654685103242816000,-11.08524323,-25.9552784,-55.38598633
1654685106353367296,-11.28697205,-25.98517418,-55.51556396
1654685109473928704,-11.28697205,-25.98517418,-55.51556396
1654685112604468736,-11.41218567,-26.05681801,-55.57855225
1654685115745018880,-11.41218567,-26.05681801,-55.57855225
1654685118895547904,-11.06648254,-25.82833672,-55.58337402
1654685122056087296,-11.06648254,-25.82833672,-55.58337402
1654685125226635520,-11.14809418,-25.90459442,-55.67669678
1654685128407163648,-11.14809418,-25.90459442,-55.67669678
1654685131597700864,-11.11743164,-26.01536751,-55.5201416
1654685134798217984,-11.11743164,-26.01536751,-55.5201416
1654685138008744192,-10.75991058,-26.05490494,-55.59283447
1654685141229280512,-10.75991058,-26.05490494,-55.59283447
1654685144459795712,-11.52335358,-26.01172256,-55.44250488
1654685147700321024,-11.52335358,-26.01172256,-55.44250488
1654685150950825216,-11.10764313,-25.85610199,-55.44854736
1654685154211339520,-11.10764313,-25.85610199,-55.44854736
1654685157481832704,-11.31434631,-26.08941078,-55.50384521
1654685160762336000,-11.31434631,-26.08941078,-55.50384521
1654685164052849408,-11.43473816,-26.18858719,-55.43505859
1654685167353341696,-11.43473816,-26.18858719,-55.43505859
1654685170663843840,-11.36526489,-26.16014099,-55.37164307
1654685173984325120,-11.36526489,-26.16014099,-55.37164307
1654685177314816512,-11.38215637,-26.04828072,-55.39923096
1654685180655317760,-11.38215637,-26.04828072,-55.39923096
1654685184005797888,-11.5545578,-25.99754333,-55.49389648
1654685187366288384,-11.5545578,-25.99754333,-55.49389648
1654685190736757760,-11.05516052,-26.20079613,-55.5300293
1654685194117236992,-11.05516052,-26.20079613,-55.5300293
1654685197507726336,-11.48833466,-25.96151543,-55.28851318
1654685200908194816,-11.48833466,-25.96151543,-55.28851318
