Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654684622113281024,-0.09071136475,0.047151947019999994,9.86852829
1654684622126545920,-0.1305285645,-0.0008981323242,9.834698638999999
1654684622149545984,-0.1128652954,-0.0209564209,9.8697258
1654684622182280960,-0.09879455565999999,-0.05463638306,9.867181091
1654684622224752128,-0.09669891357,-0.04490661621,9.850266266
1654684622276957952,-0.02439926147,-0.01886077881,9.874066772
1654684622338867968,0.009879455566000001,0.02664459229,9.862241363999999
1654684622410512896,0.036823425289999996,0.053289184569999995,9.861642609
1654684622491894016,0.04296066284,0.07200027466,9.82871109
1654684622583010048,0.03861968994,0.057630157470000005,9.853559418
1654684622683860992,0.0044906616210000005,0.04790039063,9.849966887999999
1654684622794447104,-0.01511856079,0.015268249509999998,9.877210236
1654684622914767872,-0.01811233521,-0.014220428469999997,9.864337006
1654684623044824064,-0.06346801758,-0.02020797729,9.876910857999999
1654684623184614912,-0.145796814,0.06511459351,9.836644592
1654684623334140928,-0.1712438965,0.07649093627999999,9.862241363999999
1654684623493401856,-0.17603393550000002,0.08831634521,9.885742493
1654684623662397952,-0.1362167358,0.06062393187999999,9.828561401
1654684623841129728,-0.09879455565999999,0.0217048645,9.867181091
1654684624029596672,-0.047750701900000005,-0.016765136719999997,9.869576111
1654684624227798784,0.02649490356,-0.03382965088,9.83110611
1654684624435735808,0.01631607056,-0.02395019531,9.8697258
1654684624653407744,0.059576110839999995,-0.01541793823,9.846524048
1654684624880814848,0.047451324460000006,0.02499801636,9.84038681
1654684625117956864,0.042511596680000006,0.0260458374,9.862091675
1654684625364833792,0.03412902832,0.07768844604,9.843081207
1654684625621445888,-0.04535568237,0.09864486694,9.845625916
1654684625887793920,-0.06706054687999999,0.0845741272,9.855205994
1654684626163876864,-0.12379257199999999,0.03742218018,9.856104126
1654684626449694976,-0.1248403931,0.02350112915,9.862540741
1654684626745247744,-0.1384620667,-0.01586700439,9.890083466
1654684627050535936,-0.1351689148,-0.035775604249999995,9.869875488
1654684627365558784,-0.1151106262,-0.019010467530000002,9.874815216
1654684627690317056,-0.055384826660000004,0.009280700684,9.848769379
1654684628024809728,-0.03188369751,0.04400848389,9.852212219
1654684628369037824,0.02305206299,0.09026229858,9.892179107999999
1654684628723002112,0.01182540894,0.07723937988,9.850116577
1654684629086701056,0.029788055419999997,0.045804748539999995,9.835596771
1654684629460134912,0.025297393799999998,0.01886077881,9.874964905
1654684629843303936,0.00209564209,-0.01511856079,9.853709106
1654684630236208128,-0.027393035889999997,-0.02574645996,9.86029541
1654684630638846976,-0.053289184569999995,-0.009131011962999999,9.881700897
1654684631051220992,-0.0817300415,0.018561401369999998,9.841284943
1654684631473271040,-0.08711883545,0.01571731567,9.865684203999999
1654684631905056256,-0.11600875849999999,0.06242019653,9.851912842
1654684632346576384,-0.1041833496,0.07798782349,9.848769379
1654684632797831424,-0.1008901978,0.055085449220000006,9.857002258
1654684633258821632,-0.07155120849999999,0.02844085693,9.867630157
1654684633729546752,-0.008232879638999999,0.02380050659,9.851314087
1654684634210007040,-0.03622467041,-0.005538482666,9.86269043
1654684634700203264,-0.01047821045,-0.01691482544,9.847122803
1654684635200134400,-0.01586700439,0.0122744751,9.845925292999999
1654684635709800448,-0.022752685550000002,0.059576110839999995,9.867031403
1654684636229201664,-0.050594787599999996,0.05972579956,9.851613464
1654684636758337792,-0.05852828978999999,0.07813751221,9.847571869
1654684637297208832,-0.06601272583,0.05119354248,9.881551208
1654684637845815040,-0.07753875732000001,0.017663269040000002,9.871671753
1654684638404155904,-0.09430389403999999,0.00419128418,9.874964905
1654684638972231936,-0.07424560547,-0.014220428469999997,9.878557434
1654684639550043392,-0.06780899048,-0.01496887207,9.865684203999999
1654684640137590272,-0.038020935060000004,0.01945953369,9.857750702
1654684640734872576,-0.01511856079,0.010178833009999999,9.86029541
1654684641341889536,0.007634124756,0.023351440430000002,9.853110352
1654684641958641920,-0.008382568359,0.03158432007,9.867181091
1654684642585128704,-0.005538482666,0.06750961304,9.855954437000001
1654684643221350912,-0.036524047850000005,0.03532653809,9.852212219
1654684643867278080,-0.01616638184,0.042511596680000006,9.868677979
1654684644522940160,-0.04655319214,0.03996688843000001,9.84158432
1654684645188337408,-0.056432647710000006,0.016615448,9.857301636
1654684645863469312,-0.035925292969999995,0.01916015625,9.882748718
1654684646548336384,-0.05748046875,-0.005688171387,9.860445099
1654684647242938624,-0.057929534910000004,0.0038919067379999998,9.852661285
1654684647947275520,-0.05583389282000001,0.02050735474,9.858050079
1654684648661347840,-0.0628692627,0.01930984497,9.837093657999999
1654684649385156096,-0.06421646118,0.02395019531,9.857900391
1654684650118699008,-0.057031402589999995,0.03068618774,9.855205994
1654684650861977088,-0.05358856201,0.011975097659999998,9.874216461
1654684651614990080,-0.03068618774,0.01437011719,9.867480469
1654684652377738496,-0.027243347169999998,-0.01332229614,9.854008484
1654684653150221568,-0.030985565189999998,0.0383203125,9.867630157
1654684653932439808,-0.02155517578,0.03817062378,9.851763153
1654684654724392960,-0.0513432312,0.020806732180000002,9.852361907999999
1654684655526081024,-0.044307861330000003,0.020357666019999998,9.852511597000001
1654684656337505024,-0.036524047850000005,0.027393035889999997,9.86149292
1654684657158664192,-0.05433700562000001,0.026195526119999996,9.864037628
1654684657989558528,-0.049996032710000006,0.03188369751,9.86852829
1654684658830187520,-0.06137237549,0.0122744751,9.855804748999999
1654684659680551680,-0.03951782227,0.0209564209,9.851912842
1654684660540650752,-0.05882766723999999,0.02844085693,9.85685257
1654684661410484992,-0.05733078002999999,0.02439926147,9.858798522999999
1654684662290053888,-0.05239105224999999,0.018262023930000003,9.845027161
1654684663179358208,-0.03532653809,0.008232879638999999,9.851314087
1654684664078398464,-0.03697311401,0.007484436035,9.854607239
1654684664987142656,-0.03697311401,0.014519805910000001,9.860445099
1654684665905621760,-0.03996688843000001,0.008232879638999999,9.835896149
1654684666833835776,-0.014220428469999997,0.023351440430000002,9.85685257
1654684667771784960,-0.049247589110000003,0.03861968994,9.857900391
1654684668719470336,-0.05942642212,0.02499801636,9.878108368
1654684669676890368,-0.04146377563,0.02365081787,9.859247589
1654684670644045568,-0.05882766723999999,0.021106109619999997,9.852212219
1654684671620935680,-0.05284011841,0.029039611820000002,9.866282959
1654684672607560960,-0.05837860107000001,0.0383203125,9.846524048
1654684673603920896,-0.053289184569999995,0.006586303711,9.871671753
1654684674610016000,-0.059276733399999997,0.022004241940000002,9.881551208
1654684675625846016,-0.06182144165,0.02409988403,9.860894165
1654684676651411200,-0.046702880860000004,0.004790039062,9.853409729
1654684677686711296,-0.03083587646,0.003143463135,9.863289185
1654684678731747328,-0.03442840576,0.02305206299,9.868079224
1654684679786518528,-0.022752685550000002,0.010178833009999999,9.881251831
1654684680851024640,-0.03622467041,0.03382965088,9.85445755
1654684681925265920,-0.04086502075,0.03772155762,9.843679962000001
1654684683009241856,-0.04400848389,0.02409988403,9.86852829
1654684684102952960,-0.02215393066,0.009580078125,9.876012726
1654684685206398976,-0.045205993650000005,0.02005828857,9.86029541
1654684686319579904,-0.03248245238999999,0.01706451416,9.852661285
1654684687442496256,-0.04984634399,0.01586700439,9.842183075
1654684688575148288,-0.035925292969999995,0.02020797729,9.857002258
1654684689717535488,-0.05688171387,0.027542724610000003,9.873318329
1654684690869657600,-0.0636177063,0.024698638919999998,9.836794281
1654684692031514624,-0.029189300539999994,0.02424957275,9.846823425
1654684693203106816,-0.03517684937,0.01871109009,9.852960663
1654684694384433920,-0.03861968994,0.009131011962999999,9.838291168
1654684695575496192,-0.03487747192,0.0173638916,9.851314087
1654684696776293376,-0.02484832764,0.011675720209999999,9.849966887999999
1654684697986825472,-0.02499801636,0.009430389404,9.861343231000001
1654684699207093504,-0.02424957275,-0.01871109009,9.836794281
1654684700437096704,-0.02230361938,-0.001047821045,9.846374359
1654684701676803840,-0.02424957275,0.0016465759280000001,9.841434631
1654684702926245888,-0.03532653809,0.0853225708,9.846673737
1654684704185423104,-0.1166075134,0.22498214719999998,9.807904358
1654684705454336256,-0.09535171509,0.1502874756,9.933493195
1654684706732984320,-0.06167175293,0.005987548828,9.744735718
1654684708021367296,-0.0549357605,-0.09999206543,9.905052337999999
1654684709319485440,-0.02350112915,-0.1104702759,9.89307724
1654684710627338496,-0.006137237549,-0.09879455565999999,9.819879456
