Time (s),X (hPa)
1654802180880051968,984.8475647
1654802181913355776,984.8488617
1654802182946632960,984.8501587000001
1654802183946637824,984.8505402000001
1654802184946648064,984.852066
1654802185204940800,984.852066
1654802186271557888,984.8496246
1654802187338174720,984.8494720000001
1654802188404750848,984.8496246
1654802189471312896,984.850235
1654802190537870080,984.8511505000001
1654802191604361728,984.8544312000001
1654802192670809600,984.8569489
1654802193737349632,984.8569489
1654802194803971840,984.8577881000001
1654802195870597888,984.8568726
1654802196937211904,984.8551941
1654802198003896576,984.8539734
1654802199070577920,984.8539734
1654802200137174784,984.8535919
1654802201203855872,984.8543549000001
1654802202270507008,984.8536682
1654802203337175040,984.8536682
1654802204403845888,984.8527527000001
1654802205470482688,984.8504639
1654802206537159936,984.8480225
1654802207603824128,984.8464966
1654802208670467072,984.8464966
1654802209737090816,984.8474120999999
1654802210803780864,984.8483276000001
1654802211870375936,984.8488617
1654802212937073664,984.8493195
1654802214003760896,984.8499298
1654802215070449920,984.8500823999999
1654802216137148928,984.8505402000001
1654802217203844864,984.8505402000001
1654802218270465024,984.8505402000001
1654802219337095680,984.8501587000001
1654802220403751936,984.8499298
1654802221470406912,984.8500061000001
1654802222537071616,984.8500061000001
1654802223603752960,984.8524474999999
1654802224670419968,984.8552704
1654802225737087744,984.8574829
1654802226803786752,984.8603821
1654802227870504960,984.861908
1654802228937178112,984.8627472000001
1654802230003856896,984.8627472000001
1654802231070486784,984.862442
1654802232137088768,984.861908
1654802233203760128,984.8612976
1654802234270483712,984.8612976
1654802235337154816,984.8621367999999
1654802236403885056,984.8622893999999
1654802237470554880,984.8635864
1654802238537236992,984.8638152999999
1654802239603887872,984.8644257000001
1654802240670539008,984.8644257000001
1654802241737140992,984.8648071
1654802242803791872,984.8661041000001
1654802243870447872,984.8668671
1654802244937132800,984.8676300000001
1654802246003771904,984.8677825999999
1654802247070428672,984.8687743999999
1654802248137071104,984.8687743999999
1654802249203729920,984.8680877999999
1654802250270409728,984.8680115
1654802251337134080,984.8677825999999
1654802252403783680,984.8660277999999
1654802253470477824,984.8656464
1654802254537114880,984.8654938
1654802255603755776,984.8654938
1654802256670353920,984.865799
1654802257736989696,984.865799
1654802258803650816,984.8649597000001
1654802259870308096,984.8648071
1654802260936908800,984.8648071
1654802262003481088,984.8648071
1654802263070115840,984.8662567
1654802264136749824,984.8666382000001
1654802265203400960,984.8683167000002
1654802266270054912,984.8701477
1654802267336672768,984.8721312999999
1654802268403232768,984.8722075999999
1654802269469831680,984.8731994999999
1654802270536425728,984.8741150000001
1654802271603029760,984.8742676
1654802272669641728,984.8742676
1654802273736150784,984.8742676
1654802274802638848,984.8749542000002
1654802275869171968,984.8749542000002
1654802276935716096,984.8749542000002
1654802278002307072,984.8752594
1654802279068912640,984.8752594
1654802280135550720,984.8752594
1654802281202185984,984.8754119999999
1654802282268784896,984.8754119999999
1654802283335399936,984.8754119999999
1654802284402010624,984.8777771
1654802285468684800,984.87854
1654802286535297792,984.8788452
1654802287601916928,984.8802185000001
1654802288668559872,984.8802185000001
1654802289735175680,984.8792267000001
1654802290801831680,984.8792267000001
1654802291868492032,984.8792267000001
1654802292935105792,984.8792267000001
1654802294001670912,984.8810576999999
1654802295068327936,984.8810576999999
1654802296134974720,984.8810576999999
1654802297201622784,984.8790741
1654802298268161792,984.87854
1654802299334753792,984.87854
1654802300401339904,984.8793793
1654802301467939840,984.8803711000002
1654802302534548736,984.8863220000001
1654802303601155840,984.8892975
1654802304667776768,984.8940277
1654802305734405888,984.8947906
1654802306801029632,984.8947906
1654802307867546880,984.8921204
1654802308934118656,984.8879242
1654802310000654592,984.8831177000001
1654802311067185920,984.881134
1654802312133687808,984.8807526
1654802313200226816,984.8807526
1654802314266799616,984.8825072999999
1654802315333400576,984.8860931
1654802316400036864,984.8882294
1654802317466653696,984.8882294
1654802318533244928,984.8873138
1654802319599820800,984.8867035000001
1654802320666397696,984.8838043
1654802321732987904,984.8825836000001
1654802322799645952,984.8825836000001
1654802323866306816,984.8825836000001
