Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1654684622271149056,-0.1187739708,0.06791854355,0.07593077302
1654684622442525952,-0.07899957452,0.04006736917,0.018749681709999997
1654684622623912704,-0.0415470071,0.0011047765799999999,0.05736995637
1654684622815278848,0.009447245831,-0.03753925468,0.05976497591
1654684623016654592,0.08325050944,-0.055216874529999994,0.02129380524
1654684623228039680,0.07306112403,-0.045403510769999995,0.05991349517999999
1654684623449404672,0.11630771570000001,-0.03679100065,0.03671115875
1654684623680778752,0.104272611,0.0036338503820000003,0.030574505930000002
1654684623922132736,0.09944996457999998,0.004690483364,0.052279955149999995
1654684624173495808,0.14560602109999998,0.02828896637,0.03383900642
1654684624434868736,0.06070746484,0.0605367033,0.0362732023
1654684624706220800,0.02200750359,0.062222277420000006,0.045635764
1654684624987582976,-0.06065273399,0.02765152165,0.046312286849999995
1654684625278924032,-0.07624081249,0.01983894947,0.052661778330000006
1654684625580274944,-0.10659977539999999,-0.01678706149,0.0801355058
1654684625891604992,-0.11397242910000001,-0.04011577316,0.05989946187000001
1654684626212945152,-0.1014284065,-0.025999173880000004,0.06482749522
1654684626544295424,-0.04674320381,-0.005292864206,0.0387839967
1654684626885624320,-0.019685163130000002,0.021334192140000003,0.04224613308999999
1654684627236963584,0.03999908008999999,0.06214296542,0.08223407149
1654684627598281728,0.03725372326,0.04848570148,0.04019142151
1654684627969609728,0.06253134387999999,0.017400546330000002,0.025692665580000003
1654684628350947584,0.06525423232000001,-0.0066319005729999995,0.06507951021000001
1654684628742264576,0.04819437309999999,-0.03676182853,0.04384125352
1654684629143591424,0.02286754679,-0.04506235771000001,0.05044334471
1654684629554897408,-0.0026246689260000003,-0.027888221960000004,0.07184941649
1654684629976184320,-0.03206949736,-0.001696277261,0.031431707739999995
1654684630407481344,-0.04113941048,-0.008253207848999999,0.05582102895
1654684630848757504,-0.07286562602999999,0.035887382,0.04204381943
1654684631300043520,-0.0640478421,0.028014677139999996,0.047108677630000005
1654684631761308672,-0.03632599855,0.003077410155,0.05772605181
1654684632232583680,0.026634670290000002,0.0004044697224,0.04140413404
1654684632713868032,-0.0006142225955,-0.02768575755,0.052779892089999995
1654684633205132032,0.026739093340000002,-0.0391068361,0.03721869707
1654684633706405120,0.023186375359999997,-0.00970546664,0.036027619239999996
1654684634217658368,0.019031937769999997,0.03611439558,0.0571483469
1654684634738920448,-0.0067249055630000006,0.034351741,0.04174444199
1654684635270192640,-0.01293520133,0.05168919451,0.03771337152
1654684635811443712,-0.01964118567,0.024649163709999998,0.07169680417
1654684636362704896,-0.032344522060000006,-0.008864255589,0.061811501379999995
1654684636923945216,-0.04932792437,-0.021469372459999997,0.06510172963
1654684637495195392,-0.030210461929999998,-0.0387778754,0.06868724227
1654684638076455680,-0.02453477983,-0.03922214045,0.05580991924
1654684638667694848,0.004787357566,-0.0057573832339999995,0.04787641704
1654684639268943872,0.027990995919999997,-0.015834305669999996,0.05042463362
1654684639880172288,0.0512263143,-0.004036828608,0.04324542224
1654684640501410560,0.03587934664,0.0035822601240000002,0.05732083976
1654684641132658688,0.03953942042,0.03984023225,0.04609710932
1654684641773885696,0.009680787278,0.008206937187,0.04235839963
1654684642425122816,0.03075767909,0.0162653551,0.05882532835
1654684643086338816,0.001005076985,0.014563429330000002,0.03173225462
1654684643757564928,-0.008859746838,-0.008727444448,0.0474495703
1654684644438800896,0.01111081066,-0.005914883469,0.07289372921000001
1654684645130016000,-0.01159573213,-0.03080751062,0.05058484733
1654684645831240960,-0.012806996559999999,-0.02140191935,0.042797525530000005
1654684646542445056,-0.01167314379,-0.0058320243119999995,0.048184565310000003
1654684647263659008,-0.019058551740000002,-0.007402040544,0.027228144410000002
1654684647994882048,-0.0209651232,-0.0031763354499999997,0.04803312242
1654684648736085248,-0.01368176743,0.003241504496,0.04533989489
1654684649487297280,-0.009855646435,-0.01516023134,0.06435153186
1654684650248489472,0.01289037877,-0.01234231879,0.05761378527000001
1654684651019690496,0.01629808123,-0.0396236523,0.044140630959999996
1654684651800901632,0.01240853622,0.011978475790000002,0.05776171982000001
1654684652592091904,0.02199737603,0.01191173988,0.04189471543
1654684653393292032,-0.007579983193,-0.005561177172,0.042495224479999996
1654684654204471040,-5.905687809e-05,-0.005923576634,0.04264666736000001
1654684655025660416,-0.009589895052,0.0003036075365,0.054173868300000004
1654684655856859392,-0.005506085437,0.006283015943999999,0.05866277575
1654684656698037504,-0.017201370980000002,-0.012722919990000001,0.04593631089
1654684657549225728,0.004530733321,-0.003881756337,0.04204323471
1654684658410393088,-0.014631167959999998,0.003979582996,0.04698237777
1654684659281570304,-0.012774549080000001,0.0001223849645,0.04892950058
1654684660162726400,-0.007990256733999999,-0.006146131712,0.03515813828
1654684661053892608,0.008861564956999999,-0.01627949348,0.04144447982
1654684661955068928,0.007003730955000001,-0.01752383807,0.04473763168000001
1654684662866224128,0.0072710218,-0.01027443042,0.050576076510000005
1654684663787389184,0.004548996734,-0.01631877946,0.02602771103
1654684664718533376,0.03035165392,-0.001074389331,0.04698413193
1654684665659687680,-0.004405063866,0.014170121859999999,0.04803312242
1654684666610851840,-0.014519216619999997,0.0004267234029,0.06824168444
1654684667571994880,0.003539680517,-0.0009139220905,0.04938149035
1654684668543147776,-0.014199931240000001,-0.003551269881,0.04234495103
1654684669524279808,-0.008250521785000001,0.004598839679,0.056414521339999996
1654684670515421952,-0.013715146809999999,0.01418950446,0.0366556102
1654684671516572928,-0.008725589784000001,-0.01757214841,0.06180273056
